"ID","Connectivity","Control","Integration","LocalIntegration","X1","Y1","X2","Y2","Length"
7085,7,2.05,1.13468,3.21429,-1395.39,-4855.53,-1493.53,-4682.95,198.539
7086,4,0.417832,1.124,2.90449,-505.398,-5410.53,-549.39,-5285.32,132.715
7088,6,1.04924,1.12379,3.11857,-386.958,-5410.53,-573.078,-5376.69,189.172
7092,3,0.251166,1.12358,2.75058,-481.71,-5390.22,-529.086,-5285.32,115.109
7093,3,0.251166,1.12358,2.75058,-461.406,-5383.45,-502.014,-5275.16,115.655
7094,6,1.29611,1.24262,3.26779,-518.934,-4415.6,-522.318,-4371.61,44.1233
7095,4,0.762777,1.24256,3.00296,-498.63,-4408.83,-505.398,-4371.61,37.8354
7098,6,1.42944,1.24243,3.21843,-535.854,-4418.99,-535.854,-4388.53,30.4569
7099,4,0.84611,1.24224,2.93804,-481.71,-4483.28,-491.862,-4398.68,85.2095
7100,5,1.01278,1.24224,3.03077,-542.622,-4422.37,-542.622,-4395.3,27.0728
7107,1,0.5,0.951855,0.210897,-1564.59,-2628.79,-1530.75,-2645.72,37.8345
7118,6,1.30278,1.21119,3.11857,-1216.04,-5112.73,-1290.49,-4936.75,191.074
7119,3,0.95,1.12651,1.77404,-1290.49,-4127.95,-1205.89,-4121.18,84.8703
7132,4,1.01111,1.20848,2.72481,-1256.65,-4977.36,-1175.43,-5068.73,122.248
7138,3,0.382576,1.11752,2.30467,-403.878,-5424.06,-424.182,-5346.23,80.439
7145,6,0.81627,1.05555,3.43316,-1236.34,-5535.74,-143.31,-7281.94,2060.08
7157,3,1.33333,1.18206,1.69825,-488.478,-4672.79,-468.174,-4706.63,39.4648
7173,2,0.833333,1.08831,1.16341,624.858,-4550.97,584.25,-4506.97,59.87
7174,3,0.635965,1.12202,2.54498,-1679.65,-4557.73,-1655.96,-4506.97,56.0166
7178,2,0.366667,0.877888,1.47837,739.914,-4327.61,716.226,-4314.08,27.2829
7189,11,3.14444,1.02736,4.10046,-2129.72,-4073.81,-1967.29,-4121.18,169.2
7195,2,0.833333,1.08055,1.16341,191.706,-4605.11,208.626,-4574.65,34.8412
7201,15,3.5364,1.10923,4.60605,-1967.29,-4885.99,-1578.13,-4970.59,398.25
7207,13,3.97619,1.09322,4.64719,-644.142,-5332.69,-437.718,-5258.24,219.44
7208,3,0.516667,1.20355,2.25157,-305.742,-4598.34,-349.734,-4547.58,67.1716
7214,1,0.25,1.02078,0.703987,-1906.37,-4053.5,-1831.93,-4134.72,110.177
7230,2,0.833333,1.17081,1.05598,-488.478,-4703.25,-546.006,-4618.65,102.309
7244,2,0.666667,1.17616,1.37915,-329.43,-4649.1,-353.118,-4618.65,38.5843
7248,7,1.52549,1.172,3.52035,-1205.89,-5214.25,-1293.87,-5116.11,131.805
7250,6,1.15882,1.17036,3.29217,-1293.87,-5048.43,-1094.21,-5166.87,232.145
7251,3,0.458824,1.16906,2.75058,-1283.72,-5109.34,-1246.49,-5143.18,50.3075
7260,1,0.333333,1.14147,0.5,-606.918,-3897.83,-637.374,-3904.6,31.1991
7266,4,1.5,0.945357,2.2,-894.558,-2354.68,-955.47,-2297.15,83.7851
7291,4,1.33333,1.12546,2.2,-498.63,-3965.52,-532.47,-3985.82,39.4643
7296,2,0.2625,1.2166,2.20873,-393.726,-4385.14,-430.95,-4358.07,46.0279
7297,1,0.0625,1.21636,1.95136,-430.95,-4371.61,-451.254,-4354.69,26.4302
7298,1,0.0625,1.21636,1.95136,-417.414,-4358.07,-444.486,-4341.15,31.9249
7299,3,0.277778,1.10519,2.7118,-1622.12,-5011.2,-1662.73,-4940.14,81.8499
7303,1,0.333333,1.08558,0.5,-1229.57,-4029.81,-1226.19,-3999.36,30.6443
7304,1,0.333333,1.08558,0.5,-1205.89,-4063.65,-1205.89,-4012.89,50.7616
7305,3,0.366667,1.10348,2.63086,-1635.65,-4967.21,-1683.03,-4875.84,102.923
7306,5,0.911111,1.10549,2.9078,-1649.19,-4842,-1567.97,-4963.83,146.417
7310,2,0.625,1.00303,1.57143,-2143.25,-4117.8,-2190.63,-4087.34,56.3215
7311,2,0.833333,0.940587,1.05598,-488.478,-2550.96,-529.086,-2591.57,57.4293
7312,2,0.833333,0.940587,1.05598,-556.158,-2574.65,-512.166,-2527.27,64.6523
7318,3,0.752632,1.10494,2.63086,-1625.5,-4896.14,-1530.75,-4828.46,116.442
7325,2,1,0.949097,1.05598,-1327.71,-2825.07,-1276.95,-2804.77,54.6704
7327,1,0.333333,0.948502,0.5,-1341.25,-2757.39,-1253.26,-2720.17,95.5347
7328,1,0.333333,0.948502,0.5,-1317.56,-2774.31,-1232.96,-2743.85,89.9155
7331,4,0.545489,1.10549,3.09524,-1811.62,-4622.03,-1628.89,-4588.19,185.843
7337,2,0.266667,1.16659,2.15103,-1192.35,-5028.12,-1138.21,-5085.65,79.0016
7338,1,0.066667,1.16575,1.88281,-1168.66,-4936.75,-1104.37,-4984.13,79.8662
7347,10,2.43333,1.06943,4.17106,-1771.01,-4632.18,-1852.23,-4462.98,187.687
7348,2,0.5,0.942306,1.27368,-972.39,-2368.22,-911.478,-2317.46,79.2907
7349,2,0.5,0.942306,1.27368,-965.622,-2381.76,-908.094,-2334.38,74.5258
7359,2,0.642857,1.04544,1.57143,110.49,-5193.95,134.178,-5231.17,44.123
7361,2,0.309524,1.19371,1.57143,-952.086,-5065.35,-996.078,-5001.05,77.9071
7362,2,0.309524,1.19371,1.57143,-1029.92,-4984.13,-972.39,-5085.65,116.689
7373,3,0.528822,1.10388,2.7118,-1760.86,-4713.4,-1601.81,-4672.79,164.15
7375,3,0.445489,1.10343,2.67192,-1781.17,-4672.79,-1622.12,-4625.42,165.954
7385,2,1,1.03592,1,-1683.03,-4070.42,-1622.12,-4026.43,75.1378
7388,2,0.195489,1.10272,2.46531,-1618.73,-4794.62,-1466.45,-4710.02,174.203
7389,2,0.195489,1.10272,2.46531,-1567.97,-4794.62,-1452.92,-4737.09,128.637
7390,3,0.885965,1.10267,2.5,-1605.2,-4490.05,-1686.41,-4530.66,90.8028
7391,2,0.302632,1.10267,2.41773,-1713.49,-4679.56,-1601.81,-4645.72,116.687
7392,2,0.552632,1.10262,2.36842,-1655.96,-4611.88,-1605.2,-4601.73,51.7653
7393,3,0.885965,1.10257,2.5,-1483.37,-4828.46,-1588.28,-4889.38,121.307
7394,2,0.385965,1.10247,2.31725,-1534.13,-4845.38,-1486.76,-4811.54,58.2211
7395,2,0.4,1.05166,1.37915,218.778,-4567.89,245.85,-4523.89,51.6557
7401,2,0.833333,1.05436,1.16341,-1310.79,-4114.42,-1337.86,-4114.42,27.072
7407,2,0.3,1.10032,1.89187,-1605.2,-4946.91,-1662.73,-4855.53,107.973
7411,8,1.72692,1.21137,3.54011,-454.638,-4297.16,-383.574,-4199.02,121.167
7412,6,1.14359,1.21101,3.21843,-474.942,-4280.24,-451.254,-4229.48,56.0166
7416,4,0.74359,1.20848,2.60691,-417.414,-4320.85,-366.654,-4256.55,81.9195
7417,2,0.326923,1.20805,2.09074,-474.942,-4232.86,-491.862,-4270.08,40.8901
7418,2,0.576923,1.20775,2.02765,-515.55,-4259.93,-485.094,-4212.56,56.3222
7429,3,0.9,1.16923,2.35598,-302.358,-4236.24,-329.43,-4100.88,138.045
7453,9,2.8171,0.998901,3.67389,-2106.03,-4090.73,-2038.35,-3931.67,172.854
7460,3,0.587302,0.996518,2.08105,-2092.49,-3918.14,-2031.58,-3948.59,68.102
7461,2,0.253968,0.996477,1.89187,-2055.27,-4002.74,-2146.64,-3962.13,99.9861
7462,2,0.253968,0.996477,1.89187,-2065.42,-4029.81,-2166.94,-3985.82,110.642
7465,7,2.22778,0.997256,3.20851,-1943.6,-4063.65,-2075.57,-3962.13,166.507
7489,2,0.583333,1.06619,1.27368,-1693.18,-4544.2,-1703.33,-4486.67,58.4186
7502,2,0.611111,0.995086,1.74097,-1984.21,-4009.51,-2058.65,-3951.98,94.086
7505,5,0.916667,1.03231,2.71844,-1815.01,-4483.28,-2038.35,-4456.21,224.979
7511,4,0.7,1.03029,2.39631,-1953.75,-4530.66,-1825.16,-4466.36,143.771
7517,3,0.866667,1.18606,1.77404,-576.462,-4364.84,-596.766,-4337.77,33.8406
7518,2,0.45,1.18594,1.37915,-593.382,-4368.22,-606.918,-4347.92,24.4029
7519,2,0.583333,1.18594,1.37915,-586.614,-4371.61,-596.766,-4351.3,22.7011
7520,2,0.533333,1.18594,1.37915,-573.078,-4347.92,-589.998,-4334.38,21.6684
7535,4,0.894444,1.0915,2.48195,-1798.09,-4784.47,-1659.34,-4740.48,145.552
7539,5,0.783333,1.1184,2.87619,-200.838,-5271.78,-238.062,-5156.72,120.931
7563,4,0.783333,1.10792,2.52427,-254.982,-5265.01,-204.222,-5376.69,122.67
7585,3,0.642857,1.05652,1.95859,401.514,-5041.66,316.914,-4953.67,122.061
7587,11,3.26667,1.13405,4.03864,-1581.51,-5122.88,-1429.23,-4913.06,259.251
